任务编号,任务名称,负责人,开始日期,结束日期,工作日,状态,进度,前置任务,备注
1,项目启动,,2025-10-17,2025-10-17,1,,,
1.1,项目组建,项目经理,2025-10-17,2025-10-17,1,未开始,0%,,确定团队成员和分工
1.2,需求评审,全体成员,2025-10-17,2025-10-17,1,未开始,0%,1.1,评审实验方案
1.3,材料采购清单确认,硬件工程师,2025-10-17,2025-10-17,1,未开始,0%,1.2,确认所需材料和预算
2,材料准备阶段,,2025-10-18,2025-10-19,2,,,
2.1,传感器采购,采购专员,2025-10-18,2025-10-19,2,未开始,0%,1.3,PM2.5、CO、CO2、温湿度传感器
2.2,微控制器及配件采购,采购专员,2025-10-18,2025-10-19,2,未开始,0%,1.3,Arduino/树莓派、显示屏、蜂鸣器等
2.3,电子元件采购,采购专员,2025-10-18,2025-10-19,2,未开始,0%,1.3,面包板、杜邦线、电阻、LED等
2.4,外壳及安装材料,采购专员,2025-10-18,2025-10-19,2,未开始,0%,1.3,亚克力外壳、螺丝、支架等
2.5,软件环境准备,软件工程师,2025-10-18,2025-10-18,1,未开始,0%,1.2,安装Python、Arduino IDE等
3,硬件搭建阶段,,2025-10-20,2025-10-21,2,,,
3.1,传感器单独测试,硬件工程师,2025-10-20,2025-10-20,1,未开始,0%,2.1,验证每个传感器功能正常
3.2,电路设计与连接,硬件工程师,2025-10-20,2025-10-21,2,未开始,0%,3.1,按照电路图连接所有模块
3.3,显示与告警模块测试,硬件工程师,2025-10-21,2025-10-21,1,未开始,0%,3.2,测试LCD、蜂鸣器、LED
3.4,整体电路调试,硬件工程师,2025-10-21,2025-10-21,1,未开始,0%,3.3,确保所有模块协同工作
3.5,外壳组装,硬件工程师,2025-10-21,2025-10-21,1,未开始,0%,3.4,安装到保护外壳中
4,软件开发阶段,,2025-10-20,2025-10-24,5,,,
4.1,数据采集程序开发,软件工程师,2025-10-20,2025-10-20,1,未开始,0%,2.5,编写传感器数据读取代码
4.2,数据预处理与滤波,软件工程师,2025-10-20,2025-10-20,1,未开始,0%,4.1,数据平滑和异常值处理
4.3,数据库设计,软件工程师,2025-10-21,2025-10-21,1,未开始,0%,4.2,设计数据表结构
4.4,数据存储模块开发,软件工程师,2025-10-21,2025-10-21,1,未开始,0%,4.3,实现数据持久化
4.5,异常检测算法实现,软件工程师,2025-10-22,2025-10-22,1,未开始,0%,4.4,阈值判断和异常识别
4.6,告警触发机制开发,软件工程师,2025-10-22,2025-10-22,1,未开始,0%,4.5,实现多种告警方式
4.7,Web后端开发,软件工程师,2025-10-23,2025-10-23,1,未开始,0%,4.6,Flask/Django API开发
4.8,Web前端开发,前端工程师,2025-10-23,2025-10-24,2,未开始,0%,4.7,实时数据展示和图表
4.9,移动端推送集成,软件工程师,2025-10-24,2025-10-24,1,未开始,0%,4.6,手机通知功能
5,系统集成与测试,,2025-10-22,2025-10-24,3,,,
5.1,硬件软件集成,全体工程师,2025-10-22,2025-10-22,1,未开始,0%,"3.5,4.4",将软件部署到硬件设备
5.2,功能测试,测试工程师,2025-10-23,2025-10-23,1,未开始,0%,5.1,传感器精度、告警响应测试
5.3,性能测试,测试工程师,2025-10-23,2025-10-23,1,未开始,0%,5.2,长时间运行稳定性测试
5.4,极端条件测试,测试工程师,2025-10-24,2025-10-24,1,未开始,0%,5.3,高温、高湿、高污染测试
5.5,问题修复,全体工程师,2025-10-24,2025-10-24,1,未开始,0%,5.4,修复测试中发现的问题
6,实际部署与优化,,2025-10-25,2025-10-26,2,,,
6.1,安装位置选择,硬件工程师,2025-10-25,2025-10-25,1,未开始,0%,5.5,选择厨房合适位置
6.2,设备安装固定,硬件工程师,2025-10-25,2025-10-25,1,未开始,0%,6.1,固定设备、连接电源网络
6.3,环境基线数据采集,测试工程师,2025-10-25,2025-10-25,1,未开始,0%,6.2,采集正常状态数据
6.4,阈值校准,软件工程师,2025-10-25,2025-10-26,2,未开始,0%,6.3,根据实际环境调整阈值
6.5,告警策略优化,软件工程师,2025-10-26,2025-10-26,1,未开始,0%,6.4,减少误报、提高准确性
6.6,用户手册编写,文档工程师,2025-10-25,2025-10-26,2,未开始,0%,6.2,编写使用说明和维护手册
7,演示准备阶段,,2025-10-26,2025-10-27,2,,,
7.1,原理动画制作,UI设计师,2025-10-26,2025-10-26,1,未开始,0%,5.5,系统架构和数据流程动画
7.2,监测结果演示准备,软件工程师,2025-10-26,2025-10-26,1,未开始,0%,6.5,准备实时数据展示
7.3,演示场景设计,项目经理,2025-10-26,2025-10-26,1,未开始,0%,7.1,设计演示流程
7.4,模拟烹饪测试,测试工程师,2025-10-27,2025-10-27,1,未开始,0%,7.3,实际烹饪产生数据
7.5,告警功能演示,测试工程师,2025-10-27,2025-10-27,1,未开始,0%,7.4,展示告警触发过程
7.6,演示文档准备,文档工程师,2025-10-27,2025-10-27,1,未开始,0%,7.5,PPT和演示脚本
8,项目总结,,2025-10-27,2025-10-27,1,,,
8.1,数据分析报告,数据分析师,2025-10-27,2025-10-27,1,未开始,0%,7.5,分析实验数据
8.2,技术文档整理,文档工程师,2025-10-27,2025-10-27,1,未开始,0%,8.1,整理所有技术文档
8.3,项目总结会议,全体成员,2025-10-27,2025-10-27,1,未开始,0%,8.2,总结经验和不足
8.4,成果归档,项目经理,2025-10-27,2025-10-27,1,未开始,0%,8.3,归档所有文档和代码
